district,sector,urban_rural,house_type,num_bedrooms,num_rooms_total,floor_area_sqm,wall_material,floor_material,roof_material,has_electricity,has_piped_water,has_indoor_toilet,has_kitchen,has_parking,distance_to_cbd_km,road_access,is_near_cbd,monthly_rent_rwf,data_source
Gasabo,Shyorongi,peri_urban,apartment,2,3,45.5,brick,earth,iron_sheet,1,1,1,1,1,7.0,murram,0,29000,EICV5_synthetic
Gasabo,Jabana,peri_urban,standalone,2,4,39.5,brick,tiles,iron_sheet,0,1,1,1,0,9.9,tarmac,0,58000,EICV5_synthetic
Gasabo,Kimironko,peri_urban,shared_compound,2,3,51.4,brick,cement,iron_sheet,0,1,1,0,1,4.3,tarmac,0,33000,EICV5_synthetic
Gasabo,Kacyiru,peri_urban,standalone,3,6,46.1,brick,cement,tiles,1,0,0,1,1,4.5,footpath,0,25000,EICV5_synthetic
Gasabo,Shyorongi,urban,standalone,1,2,19.3,concrete,tiles,tiles,1,1,0,0,0,3.1,tarmac,0,58000,EICV5_synthetic
Gasabo,Nduba,rural,standalone,3,6,76.2,mud_brick,earth,iron_sheet,0,0,1,1,1,9.1,murram,0,19000,EICV5_synthetic
Gasabo,Gikomero,urban,standalone,4,6,60.4,brick,cement,tiles,1,1,1,1,0,1.0,murram,1,83000,EICV5_synthetic
Gasabo,Gatsata,urban,standalone,1,3,15.0,brick,earth,iron_sheet,0,1,0,1,0,1.0,murram,1,40000,EICV5_synthetic
Gasabo,Gatsata,urban,standalone,4,6,101.7,mixed,cement,iron_sheet,1,1,1,1,1,2.4,tarmac,1,110000,EICV5_synthetic
Gasabo,Rusororo,urban,apartment,3,5,55.7,concrete,cement,iron_sheet,1,1,1,1,0,0.6,tarmac,1,70000,EICV5_synthetic
Gasabo,Gikomero,urban,standalone,2,3,32.4,brick,tiles,iron_sheet,1,1,1,1,0,1.1,tarmac,1,122000,EICV5_synthetic
Gasabo,Gatsata,peri_urban,standalone,2,4,36.4,mud_brick,tiles,iron_sheet,0,1,0,1,0,6.1,murram,0,25000,EICV5_synthetic
Gasabo,Remera,urban,standalone,2,5,31.2,concrete,cement,iron_sheet,1,0,0,0,0,2.9,tarmac,1,87000,EICV5_synthetic
Gasabo,Kacyiru,urban,shared_compound,3,6,69.7,brick,tiles,iron_sheet,0,1,1,1,0,4.7,tarmac,0,48000,EICV5_synthetic
Gasabo,Kacyiru,peri_urban,shared_compound,2,3,37.7,concrete,cement,iron_sheet,0,0,1,1,1,3.6,tarmac,0,75000,EICV5_synthetic
Gasabo,Ndera,peri_urban,standalone,2,3,33.8,brick,tiles,iron_sheet,1,0,0,1,0,6.6,murram,0,34000,EICV5_synthetic
Gasabo,Remera,urban,standalone,2,4,45.5,brick,tiles,iron_sheet,1,1,0,1,1,4.0,tarmac,0,49000,EICV5_synthetic
Gasabo,Remera,urban,standalone,5,6,133.5,mixed,tiles,tiles,1,1,0,1,0,4.1,tarmac,0,109000,EICV5_synthetic
Gasabo,Kacyiru,peri_urban,standalone,2,3,46.0,brick,cement,iron_sheet,0,1,0,1,0,10.1,footpath,0,78000,EICV5_synthetic
Gasabo,Gisozi,peri_urban,shared_compound,2,4,33.3,mud_brick,cement,iron_sheet,1,1,1,1,0,7.7,murram,0,49000,EICV5_synthetic
Gasabo,Kimironko,urban,apartment,2,5,41.6,brick,tiles,iron_sheet,1,1,1,0,0,1.1,murram,1,51000,EICV5_synthetic
Gasabo,Rutunga,urban,standalone,2,4,33.7,mixed,tiles,iron_sheet,1,0,1,0,1,4.5,tarmac,0,72000,EICV5_synthetic
Gasabo,Gatsata,peri_urban,shared_compound,2,5,36.8,brick,earth,iron_sheet,1,1,1,1,0,9.8,murram,0,25000,EICV5_synthetic
Gasabo,Kacyiru,urban,apartment,2,4,45.2,brick,tiles,concrete,0,1,0,1,0,3.7,tarmac,0,60000,EICV5_synthetic
Gasabo,Kacyiru,peri_urban,standalone,4,6,82.7,mud_brick,cement,iron_sheet,1,0,1,1,0,7.0,murram,0,29000,EICV5_synthetic
Gasabo,Kimironko,peri_urban,apartment,3,6,49.2,mixed,cement,iron_sheet,0,1,0,1,0,5.7,footpath,0,28000,EICV5_synthetic
Gasabo,Gisozi,urban,apartment,3,4,70.4,brick,cement,iron_sheet,1,1,0,1,1,2.0,tarmac,1,89000,EICV5_synthetic
Gasabo,Kacyiru,peri_urban,standalone,1,3,18.5,mud_brick,earth,iron_sheet,1,0,0,1,0,8.1,murram,0,64000,EICV5_synthetic
