district,sector,urban_rural,is_near_lake,house_type,num_bedrooms,num_rooms_total,floor_area_sqm,wall_material,floor_material,roof_material,has_electricity,has_piped_water,has_indoor_toilet,has_kitchen,has_parking,distance_to_town_km,road_access,monthly_rent_rwf,data_source,generated_date
Nyamasheke,Kagano,urban,1,apartment,1,4,42.2,brick,cement,tiles,0,1,1,0,1,2.0,murram,72600.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,4,7,102.9,mud_brick,cement,iron_sheet,0,0,0,0,1,29.3,footpath,10000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,standalone,2,5,55.5,mud_brick,cement,iron_sheet,0,0,0,1,0,5.8,footpath,26700.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,duplex,3,4,81.1,mud_brick,earth,iron_sheet,0,1,0,1,1,4.4,tarmac,53700.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,standalone,2,3,80.2,mud_brick,earth,iron_sheet,1,1,1,1,0,5.7,footpath,44000.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,standalone,3,5,59.0,mud_brick,cement,iron_sheet,0,1,0,1,0,14.6,tarmac,26300.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,1,apartment,3,5,90.3,mud_brick,cement,concrete,1,1,0,1,0,0.9,tarmac,109400.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,standalone,2,3,53.8,mud_brick,earth,tiles,1,0,1,0,1,18.2,tarmac,30300.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,apartment,2,5,73.3,mud_brick,cement,iron_sheet,1,1,1,0,1,5.2,tarmac,50600.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,apartment,1,4,47.6,mud_brick,tiles,iron_sheet,0,0,1,1,0,7.6,murram,31100.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,shared_compound,2,5,53.5,brick,cement,grass,0,1,1,1,0,23.4,murram,15700.0,synthetic,2026-06-19
Nyamasheke,Mahembe,urban,0,apartment,2,5,62.2,concrete,cement,iron_sheet,1,1,1,1,1,0.7,tarmac,95100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,duplex,3,5,79.9,concrete,tiles,iron_sheet,1,1,1,0,1,1.7,tarmac,140000.0,synthetic,2026-06-19
Nyamasheke,Kibogora,urban,0,apartment,2,3,51.7,brick,cement,iron_sheet,1,1,1,1,0,1.0,murram,79800.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,shared_compound,1,3,41.6,concrete,cement,grass,1,0,0,1,0,24.0,footpath,9300.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,apartment,1,2,53.3,concrete,tiles,iron_sheet,0,0,0,1,0,15.4,footpath,11800.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,apartment,1,2,56.5,mud_brick,earth,iron_sheet,1,0,0,0,0,23.8,tarmac,17800.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,standalone,4,5,122.9,brick,cement,iron_sheet,0,0,1,0,0,10.9,tarmac,44400.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,standalone,2,3,66.8,mud_brick,tiles,grass,0,0,1,1,0,23.7,footpath,8300.0,synthetic,2026-06-19
Nyamasheke,Mahembe,urban,0,duplex,3,6,85.4,brick,tiles,iron_sheet,1,1,0,0,0,0.5,tarmac,117100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,standalone,3,4,85.5,mud_brick,tiles,iron_sheet,0,1,0,1,0,21.5,footpath,27800.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,apartment,1,4,55.0,mud_brick,tiles,iron_sheet,1,0,1,1,0,9.3,tarmac,49800.0,synthetic,2026-06-19
Nyamasheke,Shangi,urban,0,apartment,2,5,67.7,brick,tiles,tiles,0,1,1,1,0,2.3,tarmac,106300.0,synthetic,2026-06-19
Nyamasheke,Shangi,peri_urban,0,shared_compound,2,4,60.2,concrete,cement,iron_sheet,0,1,0,1,1,9.6,footpath,36500.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,1,apartment,2,4,59.6,mud_brick,cement,iron_sheet,1,0,1,1,0,14.8,murram,40600.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,shared_compound,2,3,62.7,brick,wood,iron_sheet,0,1,0,1,0,19.1,footpath,15100.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,0,duplex,3,4,68.5,brick,earth,iron_sheet,0,1,1,1,0,16.2,footpath,28600.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,1,villa,4,7,108.3,wood,cement,iron_sheet,1,1,1,1,0,2.4,tarmac,137900.0,synthetic,2026-06-19
